raceId,year,round,circuitId,name,date,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1,2009,1,1,Australian Grand Prix,29-03-09,,,,,,,,,,
2,2009,2,2,Malaysian Grand Prix,05-04-09,,,,,,,,,,
3,2009,3,17,Chinese Grand Prix,19-04-09,,,,,,,,,,
4,2009,4,3,Bahrain Grand Prix,26-04-09,,,,,,,,,,
5,2009,5,4,Spanish Grand Prix,10-05-09,,,,,,,,,,
6,2009,6,6,Monaco Grand Prix,24-05-09,,,,,,,,,,
7,2009,7,5,Turkish Grand Prix,07-06-09,,,,,,,,,,
8,2009,8,9,British Grand Prix,21-06-09,,,,,,,,,,
9,2009,9,20,German Grand Prix,12-07-09,,,,,,,,,,
10,2009,10,11,Hungarian Grand Prix,26-07-09,,,,,,,,,,
11,2009,11,12,European Grand Prix,23-08-09,,,,,,,,,,
12,2009,12,13,Belgian Grand Prix,30-08-09,,,,,,,,,,
13,2009,13,14,Italian Grand Prix,13-09-09,,,,,,,,,,
14,2009,14,15,Singapore Grand Prix,27-09-09,,,,,,,,,,
15,2009,15,22,Japanese Grand Prix,04-10-09,,,,,,,,,,
16,2009,16,18,Brazilian Grand Prix,18-10-09,,,,,,,,,,
17,2009,17,24,Abu Dhabi Grand Prix,01-11-09,,,,,,,,,,
18,2008,1,1,Australian Grand Prix,16-03-08,,,,,,,,,,
19,2008,2,2,Malaysian Grand Prix,23-03-08,,,,,,,,,,
20,2008,3,3,Bahrain Grand Prix,06-04-08,,,,,,,,,,
21,2008,4,4,Spanish Grand Prix,27-04-08,,,,,,,,,,
22,2008,5,5,Turkish Grand Prix,11-05-08,,,,,,,,,,
23,2008,6,6,Monaco Grand Prix,25-05-08,,,,,,,,,,
24,2008,7,7,Canadian Grand Prix,08-06-08,,,,,,,,,,
25,2008,8,8,French Grand Prix,22-06-08,,,,,,,,,,
26,2008,9,9,British Grand Prix,06-07-08,,,,,,,,,,
27,2008,10,10,German Grand Prix,20-07-08,,,,,,,,,,
28,2008,11,11,Hungarian Grand Prix,03-08-08,,,,,,,,,,
29,2008,12,12,European Grand Prix,24-08-08,,,,,,,,,,
30,2008,13,13,Belgian Grand Prix,07-09-08,,,,,,,,,,
31,2008,14,14,Italian Grand Prix,14-09-08,,,,,,,,,,
32,2008,15,15,Singapore Grand Prix,28-09-08,,,,,,,,,,
33,2008,16,16,Japanese Grand Prix,12-10-08,,,,,,,,,,
34,2008,17,17,Chinese Grand Prix,19-10-08,,,,,,,,,,
35,2008,18,18,Brazilian Grand Prix,02-11-08,,,,,,,,,,
36,2007,1,1,Australian Grand Prix,18-03-07,,,,,,,,,,
37,2007,2,2,Malaysian Grand Prix,08-04-07,,,,,,,,,,
38,2007,3,3,Bahrain Grand Prix,15-04-07,,,,,,,,,,
39,2007,4,4,Spanish Grand Prix,13-05-07,,,,,,,,,,
40,2007,5,6,Monaco Grand Prix,27-05-07,,,,,,,,,,
41,2007,6,7,Canadian Grand Prix,10-06-07,,,,,,,,,,
42,2007,7,19,United States Grand Prix,17-06-07,,,,,,,,,,
43,2007,8,8,French Grand Prix,01-07-07,,,,,,,,,,
44,2007,9,9,British Grand Prix,08-07-07,,,,,,,,,,
45,2007,10,20,European Grand Prix,22-07-07,,,,,,,,,,
46,2007,11,11,Hungarian Grand Prix,05-08-07,,,,,,,,,,
47,2007,12,5,Turkish Grand Prix,26-08-07,,,,,,,,,,
48,2007,13,14,Italian Grand Prix,09-09-07,,,,,,,,,,
49,2007,14,13,Belgian Grand Prix,16-09-07,,,,,,,,,,
50,2007,15,16,Japanese Grand Prix,30-09-07,,,,,,,,,,
51,2007,16,17,Chinese Grand Prix,07-10-07,,,,,,,,,,
52,2007,17,18,Brazilian Grand Prix,21-10-07,,,,,,,,,,
53,2006,1,3,Bahrain Grand Prix,12-03-06,,,,,,,,,,
54,2006,2,2,Malaysian Grand Prix,19-03-06,,,,,,,,,,
55,2006,3,1,Australian Grand Prix,02-04-06,,,,,,,,,,
56,2006,4,21,San Marino Grand Prix,23-04-06,,,,,,,,,,
57,2006,5,20,European Grand Prix,07-05-06,,,,,,,,,,
58,2006,6,4,Spanish Grand Prix,14-05-06,,,,,,,,,,
59,2006,7,6,Monaco Grand Prix,28-05-06,,,,,,,,,,
60,2006,8,9,British Grand Prix,11-06-06,,,,,,,,,,
61,2006,9,7,Canadian Grand Prix,25-06-06,,,,,,,,,,
62,2006,10,19,United States Grand Prix,02-07-06,,,,,,,,,,
63,2006,11,8,French Grand Prix,16-07-06,,,,,,,,,,
64,2006,12,10,German Grand Prix,30-07-06,,,,,,,,,,
65,2006,13,11,Hungarian Grand Prix,06-08-06,,,,,,,,,,
66,2006,14,5,Turkish Grand Prix,27-08-06,,,,,,,,,,
67,2006,15,14,Italian Grand Prix,10-09-06,,,,,,,,,,
68,2006,16,17,Chinese Grand Prix,01-10-06,,,,,,,,,,
69,2006,17,22,Japanese Grand Prix,08-10-06,,,,,,,,,,
70,2006,18,18,Brazilian Grand Prix,22-10-06,,,,,,,,,,
71,2005,1,1,Australian Grand Prix,06-03-05,,,,,,,,,,
72,2005,2,2,Malaysian Grand Prix,20-03-05,,,,,,,,,,
73,2005,3,3,Bahrain Grand Prix,03-04-05,,,,,,,,,,
74,2005,4,21,San Marino Grand Prix,24-04-05,,,,,,,,,,
75,2005,5,4,Spanish Grand Prix,08-05-05,,,,,,,,,,
76,2005,6,6,Monaco Grand Prix,22-05-05,,,,,,,,,,
77,2005,7,20,European Grand Prix,29-05-05,,,,,,,,,,
78,2005,8,7,Canadian Grand Prix,12-06-05,,,,,,,,,,
79,2005,9,19,United States Grand Prix,19-06-05,,,,,,,,,,
80,2005,10,8,French Grand Prix,03-07-05,,,,,,,,,,
81,2005,11,9,British Grand Prix,10-07-05,,,,,,,,,,
82,2005,12,10,German Grand Prix,24-07-05,,,,,,,,,,
83,2005,13,11,Hungarian Grand Prix,31-07-05,,,,,,,,,,
84,2005,14,5,Turkish Grand Prix,21-08-05,,,,,,,,,,
85,2005,15,14,Italian Grand Prix,04-09-05,,,,,,,,,,
86,2005,16,13,Belgian Grand Prix,11-09-05,,,,,,,,,,
87,2005,17,18,Brazilian Grand Prix,25-09-05,,,,,,,,,,
88,2005,18,22,Japanese Grand Prix,09-10-05,,,,,,,,,,
89,2005,19,17,Chinese Grand Prix,16-10-05,,,,,,,,,,
90,2004,1,1,Australian Grand Prix,07-03-04,,,,,,,,,,
91,2004,2,2,Malaysian Grand Prix,21-03-04,,,,,,,,,,
92,2004,3,3,Bahrain Grand Prix,04-04-04,,,,,,,,,,
93,2004,4,21,San Marino Grand Prix,25-04-04,,,,,,,,,,
94,2004,5,4,Spanish Grand Prix,09-05-04,,,,,,,,,,
95,2004,6,6,Monaco Grand Prix,23-05-04,,,,,,,,,,
96,2004,7,20,European Grand Prix,30-05-04,,,,,,,,,,
97,2004,8,7,Canadian Grand Prix,13-06-04,,,,,,,,,,
98,2004,9,19,United States Grand Prix,20-06-04,,,,,,,,,,
99,2004,10,8,French Grand Prix,04-07-04,,,,,,,,,,
100,2004,11,9,British Grand Prix,11-07-04,,,,,,,,,,
101,2004,12,10,German Grand Prix,25-07-04,,,,,,,,,,
102,2004,13,11,Hungarian Grand Prix,15-08-04,,,,,,,,,,
103,2004,14,13,Belgian Grand Prix,29-08-04,,,,,,,,,,
104,2004,15,14,Italian Grand Prix,12-09-04,,,,,,,,,,
105,2004,16,17,Chinese Grand Prix,26-09-04,,,,,,,,,,
106,2004,17,22,Japanese Grand Prix,10-10-04,,,,,,,,,,
107,2004,18,18,Brazilian Grand Prix,24-10-04,,,,,,,,,,
108,2003,1,1,Australian Grand Prix,09-03-03,,,,,,,,,,
109,2003,2,2,Malaysian Grand Prix,23-03-03,,,,,,,,,,
110,2003,3,18,Brazilian Grand Prix,06-04-03,,,,,,,,,,
111,2003,4,21,San Marino Grand Prix,20-04-03,,,,,,,,,,
112,2003,5,4,Spanish Grand Prix,04-05-03,,,,,,,,,,
113,2003,6,70,Austrian Grand Prix,18-05-03,,,,,,,,,,
114,2003,7,6,Monaco Grand Prix,01-06-03,,,,,,,,,,
115,2003,8,7,Canadian Grand Prix,15-06-03,,,,,,,,,,
116,2003,9,20,European Grand Prix,29-06-03,,,,,,,,,,
117,2003,10,8,French Grand Prix,06-07-03,,,,,,,,,,
118,2003,11,9,British Grand Prix,20-07-03,,,,,,,,,,
119,2003,12,10,German Grand Prix,03-08-03,,,,,,,,,,
120,2003,13,11,Hungarian Grand Prix,24-08-03,,,,,,,,,,
121,2003,14,14,Italian Grand Prix,14-09-03,,,,,,,,,,
122,2003,15,19,United States Grand Prix,28-09-03,,,,,,,,,,
123,2003,16,22,Japanese Grand Prix,12-10-03,,,,,,,,,,
124,2002,1,1,Australian Grand Prix,03-03-02,,,,,,,,,,
125,2002,2,2,Malaysian Grand Prix,17-03-02,,,,,,,,,,
126,2002,3,18,Brazilian Grand Prix,31-03-02,,,,,,,,,,
127,2002,4,21,San Marino Grand Prix,14-04-02,,,,,,,,,,
128,2002,5,4,Spanish Grand Prix,28-04-02,,,,,,,,,,
129,2002,6,70,Austrian Grand Prix,12-05-02,,,,,,,,,,
130,2002,7,6,Monaco Grand Prix,26-05-02,,,,,,,,,,
131,2002,8,7,Canadian Grand Prix,09-06-02,,,,,,,,,,
132,2002,9,20,European Grand Prix,23-06-02,,,,,,,,,,
133,2002,10,9,British Grand Prix,07-07-02,,,,,,,,,,
134,2002,11,8,French Grand Prix,21-07-02,,,,,,,,,,
135,2002,12,10,German Grand Prix,28-07-02,,,,,,,,,,
136,2002,13,11,Hungarian Grand Prix,18-08-02,,,,,,,,,,
137,2002,14,13,Belgian Grand Prix,01-09-02,,,,,,,,,,
138,2002,15,14,Italian Grand Prix,15-09-02,,,,,,,,,,
139,2002,16,19,United States Grand Prix,29-09-02,,,,,,,,,,
140,2002,17,22,Japanese Grand Prix,13-10-02,,,,,,,,,,
141,2001,1,1,Australian Grand Prix,04-03-01,,,,,,,,,,
142,2001,2,2,Malaysian Grand Prix,18-03-01,,,,,,,,,,
143,2001,3,18,Brazilian Grand Prix,01-04-01,,,,,,,,,,
144,2001,4,21,San Marino Grand Prix,15-04-01,,,,,,,,,,
145,2001,5,4,Spanish Grand Prix,29-04-01,,,,,,,,,,
146,2001,6,70,Austrian Grand Prix,13-05-01,,,,,,,,,,
147,2001,7,6,Monaco Grand Prix,27-05-01,,,,,,,,,,
148,2001,8,7,Canadian Grand Prix,10-06-01,,,,,,,,,,
149,2001,9,20,European Grand Prix,24-06-01,,,,,,,,,,
150,2001,10,8,French Grand Prix,01-07-01,,,,,,,,,,
151,2001,11,9,British Grand Prix,15-07-01,,,,,,,,,,
152,2001,12,10,German Grand Prix,29-07-01,,,,,,,,,,
153,2001,13,11,Hungarian Grand Prix,19-08-01,,,,,,,,,,
154,2001,14,13,Belgian Grand Prix,02-09-01,,,,,,,,,,
155,2001,15,14,Italian Grand Prix,16-09-01,,,,,,,,,,
156,2001,16,19,United States Grand Prix,30-09-01,,,,,,,,,,
157,2001,17,22,Japanese Grand Prix,14-10-01,,,,,,,,,,
158,2000,1,1,Australian Grand Prix,12-03-00,,,,,,,,,,
159,2000,2,18,Brazilian Grand Prix,26-03-00,,,,,,,,,,
160,2000,3,21,San Marino Grand Prix,09-04-00,,,,,,,,,,
161,2000,4,9,British Grand Prix,23-04-00,,,,,,,,,,
162,2000,5,4,Spanish Grand Prix,07-05-00,,,,,,,,,,
163,2000,6,20,European Grand Prix,21-05-00,,,,,,,,,,
164,2000,7,6,Monaco Grand Prix,04-06-00,,,,,,,,,,
165,2000,8,7,Canadian Grand Prix,18-06-00,,,,,,,,,,
166,2000,9,8,French Grand Prix,02-07-00,,,,,,,,,,
167,2000,10,70,Austrian Grand Prix,16-07-00,,,,,,,,,,
168,2000,11,10,German Grand Prix,30-07-00,,,,,,,,,,
169,2000,12,11,Hungarian Grand Prix,13-08-00,,,,,,,,,,
170,2000,13,13,Belgian Grand Prix,27-08-00,,,,,,,,,,
171,2000,14,14,Italian Grand Prix,10-09-00,,,,,,,,,,
172,2000,15,19,United States Grand Prix,24-09-00,,,,,,,,,,
173,2000,16,22,Japanese Grand Prix,08-10-00,,,,,,,,,,
174,2000,17,2,Malaysian Grand Prix,22-10-00,,,,,,,,,,
